sector,CountryDestination,CountryOrigin,one_plus_tau,one_plus_tau_prime
1,10,6,1.06476667,1.06476667
1,10,7,1.0172,1.0172
1,10,8,1,1
1,10,9,1.063,1.063
1,10,10,1,1
1,10,11,1,1
1,10,12,1,1
1,10,13,1.0291,1.0291
1,10,14,1.03376667,1.03376667
1,10,15,1.01573333,1.01573333
1,10,16,1,1
1,10,17,1,1
1,10,18,1.02833333,1.02833333
1,10,19,1.03896667,1.03896667
1,10,20,1.04176667,1.04176667
1,10,21,1,1
1,10,22,1.05203333,1.05203333
1,10,23,1.02353333,1.02353333
1,10,24,1,1
1,10,25,1.08053333,1.08053333
1,10,26,1,1
1,10,27,1.063,1.063
1,10,28,1.05583333,1.05583333
1,10,29,1,1
1,10,30,1.0645,1.0645
1,10,31,1.03953333,1.03953333
1,11,1,1.0592,1.0592
1,11,2,1.03566667,1.03566667
1,11,3,1.063,1.063
1,11,4,1.05636667,1.05636667
1,11,5,1.06926667,1.06926667
1,11,6,1.06476667,1.06476667
1,11,7,1.0172,1.0172
1,11,8,1,1
1,11,9,1.063,1.063
1,11,10,1,1
1,11,11,1,1
1,11,12,1,1
1,11,13,1.0291,1.0291
1,11,14,1.03376667,1.03376667
1,11,15,1.01573333,1.01573333
1,11,16,1,1
1,11,17,1,1
1,11,18,1.02833333,1.02833333
1,11,19,1.03896667,1.03896667
1,11,20,1.04176667,1.04176667
1,11,21,1,1
1,11,22,1.05203333,1.05203333
1,11,23,1.02353333,1.02353333
1,11,24,1,1
1,11,25,1.08053333,1.08053333
1,11,26,1,1
1,11,27,1.063,1.063
1,11,28,1.05583333,1.05583333
1,11,29,1,1
1,11,30,1.0645,1.0645
1,11,31,1.03953333,1.03953333
1,12,1,1.0592,1.0592
1,12,2,1.03566667,1.03566667
1,12,3,1.063,1.063
1,12,4,1.05636667,1.05636667
1,12,5,1.06926667,1.06926667
1,12,6,1.06476667,1.06476667
1,12,7,1.0172,1.0172
1,12,8,1,1
1,12,9,1.063,1.063
1,12,10,1,1
1,12,11,1,1
1,12,12,1,1
1,12,13,1.0291,1.0291
1,12,14,1.03376667,1.03376667
1,12,15,1.01573333,1.01573333
1,12,16,1,1
1,12,17,1,1
1,12,18,1.02833333,1.02833333
1,12,19,1.03896667,1.03896667
1,12,20,1.04176667,1.04176667
1,12,21,1,1
1,12,22,1.05203333,1.05203333
1,12,23,1.02353333,1.02353333
1,12,24,1,1
1,12,25,1.08053333,1.08053333
1,12,26,1,1
1,12,27,1.063,1.063
1,12,28,1.05583333,1.05583333
1,12,29,1,1
1,12,30,1.0645,1.0645
1,12,31,1.03953333,1.03953333
1,13,1,1.0025,1.0025
1,13,2,1.04265,1.04265
1,13,3,1.07966667,1.07966667
1,13,4,1.1492,1.1492
1,13,5,1.07443333,1.07443333
1,13,6,1.0864,1.0864
1,13,7,1.1157,1.1157
1,13,8,1.1042667,1.1042667
1,13,9,1.025,1.025
1,13,10,1.05006667,1.05006667
1,13,11,1.0845,1.0845
1,13,12,1.1323333,1.1323333
1,13,13,1,1
1,13,14,1.09559999,1.09559999
1,13,15,1.0263,1.0263
1,13,16,1.0003,1.0003
1,13,17,1.1388667,1.1388667
1,13,18,1.0579,1.0579
1,13,19,1.4,1.4
1,13,20,1.0008,1.0008
1,13,21,1.1254333,1.1254333
1,13,22,1.243,1.243
1,13,23,1.09455,1.09455
1,13,24,1.077,1.077
1,13,25,1.0347,1.0347
1,13,26,1.07855,1.07855
1,13,27,1.06456667,1.06456667
1,13,28,1.1546,1.1546
1,13,29,1.07106667,1.07106667
1,13,30,1.1027667,1.1027667
1,13,31,1.0747,1.0747
1,14,1,1.1784,1.1784
1,14,2,1.07455,1.07455
1,14,3,1.42885,1.42885
1,14,4,1.15485,1.15485
1,14,5,1.05165,1.05165
1,14,6,1.2748,1.2748
1,14,7,1.4342333,1.4342333
1,14,8,1.58,1.58
1,14,9,1.2748,1.2748
1,14,10,1.3678,1.3678
1,14,11,1.54015,1.54015
1,14,12,1.45,1.45
1,14,13,1.1015,1.1015
1,14,14,1,1
1,14,15,1.1711,1.1711
1,14,16,1.1,1.1
1,14,17,1.5261666,1.5261666
1,14,18,1.4110667,1.4110667
1,14,19,1.6,1.6
1,14,20,1.35,1.35
1,14,21,1.4251,1.4251
1,14,22,1.3678,1.3678
1,14,23,1.2748,1.2748
1,14,24,1.3068,1.3068
1,14,25,1.6,1.6
1,14,26,1.2858,1.2858
1,14,27,1.1,1.1
1,14,28,1.122,1.122
1,14,29,1.3723333,1.3723333
1,14,30,1.3248667,1.3248667
1,14,31,1.1363667,1.1363667
1,15,1,1.0263,1.0263
1,15,2,1.1267667,1.1267667
1,15,3,1.1339667,1.1339667
1,15,4,1.04825,1.04825
1,15,5,1.0338,1.0338
1,15,6,1.1343,1.1343
1,15,7,1.0819,1.0819
1,15,8,1.07023334,1.07023334
1,15,9,1.2073,1.2073
1,15,10,1.1261667,1.1261667
1,15,11,1.07986667,1.07986667
1,15,12,1.1213,1.1213
1,15,13,1.0688,1.0688
1,15,14,1.0694,1.0694
1,15,15,1,1
1,15,16,1.1,1.1
1,15,17,1.08225,1.08225
1,15,18,1.0796,1.0796
1,15,19,1.1148333,1.1148333
1,15,20,1.075,1.075
1,15,21,1.1541,1.1541
1,15,22,1.2210333,1.2210333
1,15,23,1.2843,1.2843
1,15,24,1.1,1.1
1,15,25,1.1251,1.1251
1,15,26,1.0787,1.0787
1,15,27,1.10885,1.10885
1,15,28,1.09875,1.09875
1,15,29,1.1041333,1.1041333
1,15,30,1.05943333,1.05943333
1,15,31,1.1034667,1.1034667
1,16,1,1.0592,1.0592
1,16,2,1.03566667,1.03566667
1,16,3,1.063,1.063
1,16,4,1.05636667,1.05636667
1,16,5,1.06926667,1.06926667
1,16,6,1.06476667,1.06476667
1,16,7,1.0172,1.0172
1,16,8,1,1
1,16,9,1.063,1.063
1,16,10,1,1
1,16,11,1,1
1,16,12,1,1
1,16,13,1.0291,1.0291
1,16,14,1.03376667,1.03376667
1,16,15,1.01573333,1.01573333
1,16,16,1,1
1,16,17,1,1
1,16,18,1.02833333,1.02833333
1,16,19,1.03896667,1.03896667
1,16,20,1.04176667,1.04176667
1,16,21,1,1
1,16,22,1.05203333,1.05203333
1,16,23,1.02353333,1.02353333
1,16,24,1,1
1,16,25,1.08053333,1.08053333
1,16,26,1,1
1,16,27,1.063,1.063
1,16,28,1.05583333,1.05583333
1,16,29,1,1
1,16,30,1.0645,1.0645
1,16,31,1.03953333,1.03953333
1,17,1,1.0592,1.0592
1,17,2,1.03566667,1.03566667
1,17,3,1.063,1.063
1,17,4,1.05636667,1.05636667
1,17,5,1.06926667,1.06926667
1,17,6,1.06476667,1.06476667
1,17,7,1.0172,1.0172
1,17,8,1,1
1,17,9,1.063,1.063
1,17,10,1,1
1,17,11,1,1
1,17,12,1,1
1,17,13,1.0291,1.0291
1,17,14,1.03376667,1.03376667
1,17,15,1.01573333,1.01573333
1,17,16,1,1
1,17,17,1,1
1,17,18,1.02833333,1.02833333
1,17,19,1.03896667,1.03896667
1,17,20,1.04176667,1.04176667
1,17,21,1,1
1,17,22,1.05203333,1.05203333
1,17,23,1.02353333,1.02353333
1,17,24,1,1
1,17,25,1.08053333,1.08053333
1,17,26,1,1
1,17,27,1.063,1.063
1,17,28,1.05583333,1.05583333
1,17,29,1,1
1,17,30,1.0645,1.0645
1,17,31,1.03953333,1.03953333
1,18,1,1.0461,1.0461
1,18,2,1.03363333,1.03363333
1,18,3,1.02073333,1.02073333
1,18,4,1.01386667,1.01386667
1,18,5,1.02736667,1.02736667
1,18,6,1.03766667,1.03766667
1,18,7,1.0437,1.0437
1,18,8,1.02503333,1.02503333
1,18,9,1.0289,1.0289
1,18,10,1.0258,1.0258
1,18,11,1.03243333,1.03243333
1,18,12,1.01666667,1.01666667
1,18,13,1.05423333,1.05423333
1,18,14,1.02076667,1.02076667
1,18,15,1.01473333,1.01473333
1,18,16,1.03333333,1.03333333
1,18,17,1.02963333,1.02963333
1,18,18,1,1
1,18,19,1.05966667,1.05966667
1,18,20,1.0441,1.0441
1,18,21,1.01706667,1.01706667
1,18,22,1.0408,1.0408
1,18,23,1.03263333,1.03263333
1,18,24,1.0407,1.0407
1,18,25,1.06876667,1.06876667
1,18,26,1.0255,1.0255
1,18,27,1.0458,1.0458
1,18,28,1.01983333,1.01983333
1,18,29,1.02343333,1.02343333
1,18,30,1.04033333,1.04033333
1,18,31,1.0206,1.0206
1,19,1,1.09405,1.09405
1,19,2,1.0602,1.0602
1,19,3,1.06993333,1.06993333
1,19,4,1.0322,1.0322
1,19,5,1.09063334,1.09063334
1,19,6,1.1092,1.1092
1,19,7,1.09366667,1.09366667
1,19,8,1.04943333,1.04943333
1,19,9,1.07626667,1.07626667
1,19,10,1.0883,1.0883
1,19,11,1.1290333,1.1290333
1,19,12,1.1,1.1
1,19,13,1.0334,1.0334
1,19,14,1.1407333,1.1407333
1,19,15,1.05583333,1.05583333
1,19,16,1.0973,1.0973
1,19,17,1.09806666,1.09806666
1,19,18,1.08316667,1.08316667
1,19,19,1,1
1,19,20,1.06123333,1.06123333
1,19,21,1.1097667,1.1097667
1,19,22,1.1563,1.1563
1,19,23,1.12,1.12
1,19,24,1.1033333,1.1033333
1,19,25,1.1363,1.1363
1,19,26,1.0963,1.0963
1,19,27,1.09765,1.09765
1,19,28,1.0929,1.0929
1,19,29,1.0908,1.0908
1,19,30,1.0798,1.0798
1,19,31,1.09506667,1.09506667
1,20,1,1.1013,1.1013
1,20,2,1.0003,1.0003
1,20,3,1.0023,1.0023
1,20,4,1.1415,1.1415
1,20,5,1.1196333,1.1196333
1,20,6,1.152,1.152
1,20,7,1.1034333,1.1034333
1,20,8,1.05875,1.05875
1,20,9,1.1704,1.1704
1,20,10,1.09776667,1.09776667
1,20,11,1.09205,1.09205
1,20,12,1.1244,1.1244
1,20,13,1.2,1.2
1,20,14,1.10755,1.10755
1,20,15,1.0527,1.0527
1,20,16,1.0999,1.0999
1,20,17,1.1509,1.1509
1,20,18,1.07603333,1.07603333
1,20,19,1.1,1.1
1,20,20,1,1
1,20,21,1.0802,1.0802
1,20,22,1.10405,1.10405
1,20,23,1.1972,1.1972
1,20,24,1.1375,1.1375
1,20,25,1.1333,1.1333
1,20,26,1.1314667,1.1314667
1,20,27,1.1815,1.1815
1,20,28,1.1745,1.1745
1,20,29,1.08395,1.08395
1,20,30,1.09156667,1.09156667
1,20,31,1.1095,1.1095
1,21,1,1.0592,1.0592
1,21,2,1.03566667,1.03566667
1,21,3,1.063,1.063
1,21,4,1.05636667,1.05636667
1,21,5,1.06926667,1.06926667
1,21,6,1.06476667,1.06476667
1,21,7,1.0172,1.0172
1,21,8,1,1
1,21,9,1.063,1.063
1,21,10,1,1
1,21,11,1,1
1,21,12,1,1
1,21,13,1.0291,1.0291
1,21,14,1.03376667,1.03376667
1,21,15,1.01573333,1.01573333
1,21,16,1,1
1,21,17,1,1
1,21,18,1.02833333,1.02833333
1,21,19,1.03896667,1.03896667
1,21,20,1.04176667,1.04176667
1,21,21,1,1
1,21,22,1.05203333,1.05203333
1,21,23,1.02353333,1.02353333
1,21,24,1,1
1,21,25,1.08053333,1.08053333
1,21,26,1,1
1,21,27,1.063,1.063
1,21,28,1.05583333,1.05583333
1,21,29,1,1
1,21,30,1.0645,1.0645
1,21,31,1.03953333,1.03953333
1,22,1,1.0011,1.0011
1,22,2,1.0055,1.0055
1,22,3,1,1
1,22,4,1.0198,1.0198
1,22,5,1,1
1,22,6,1.00095,1.00095
1,22,7,1.000166667,1.000166667
1,22,8,1,1
1,22,9,1.0921,1.0921
1,22,10,1.000766667,1.000766667
1,22,11,1.01046667,1.01046667
1,22,12,1,1
1,22,13,1.0442,1.0442
1,22,14,1.002333333,1.002333333
1,22,15,1.0002,1.0002
1,22,16,1.0101,1.0101
1,22,17,1.00305,1.00305
1,22,18,1.000233333,1.000233333
1,22,19,1.004266666,1.004266666
1,22,20,1,1
1,22,21,1.0433,1.0433
1,22,22,1,1
1,22,23,1,1
1,22,24,1.03,1.03
1,22,25,1.0006,1.0006
1,22,26,1.0082,1.0082
1,22,27,1,1
1,22,28,1.0008,1.0008
1,22,29,1.0055,1.0055
1,22,30,1.002133333,1.002133333
1,22,31,1.01003333,1.01003333
1,23,1,1,1
1,23,2,1.075,1.075
1,23,3,1.0018,1.0018
1,23,4,1,1
1,23,5,1,1
1,23,6,1,1
1,23,7,1.000133333,1.000133333
1,23,8,1.007533333,1.007533333
1,23,9,1.000566667,1.000566667
1,23,10,1.001266667,1.001266667
1,23,11,1.008766667,1.008766667
1,23,12,1,1
1,23,13,1.0659,1.0659
1,23,14,1,1
1,23,15,1,1
1,23,16,1,1
1,23,17,1.02176667,1.02176667
1,23,18,1.0152,1.0152
1,23,19,1,1
1,23,20,1,1
1,23,21,1.0118,1.0118
1,23,22,1.00015,1.00015
1,23,23,1,1
1,23,24,1.0001,1.0001
1,23,25,1,1
1,23,26,1.0031,1.0031
1,23,27,1.000166667,1.000166667
1,23,28,1,1
1,23,29,1.003533333,1.003533333
1,23,30,1.003866667,1.003866667
1,23,31,1.0001,1.0001
1,24,1,1.0592,1.0592
1,24,2,1.03566667,1.03566667
1,24,3,1.063,1.063
1,24,4,1.05636667,1.05636667
1,24,5,1.06926667,1.06926667
1,24,6,1.06476667,1.06476667
1,24,7,1.0172,1.0172
1,24,8,1,1
1,24,9,1.063,1.063
1,24,10,1,1
1,24,11,1,1
1,24,12,1,1
1,24,13,1.0291,1.0291
1,24,14,1.03376667,1.03376667
1,24,15,1.01573333,1.01573333
1,24,16,1,1
1,24,17,1,1
1,24,18,1.02833333,1.02833333
1,24,19,1.03896667,1.03896667
1,24,20,1.04176667,1.04176667
1,24,21,1,1
1,24,22,1.05203333,1.05203333
1,24,23,1.02353333,1.02353333
1,24,24,1,1
1,24,25,1.08053333,1.08053333
1,24,26,1,1
1,24,27,1.063,1.063
1,24,28,1.05583333,1.05583333
1,24,29,1,1
1,24,30,1.0645,1.0645
1,24,31,1.03953333,1.03953333
1,25,1,1.00245,1.00245
1,25,2,1.1557667,1.1557667
1,25,3,1.0951,1.0951
1,25,4,1.0496,1.0496
1,25,5,1.00245,1.00245
1,25,6,1.053,1.053
1,25,7,1.01995,1.01995
1,25,8,1.05086667,1.05086667
1,25,9,1.1329,1.1329
1,25,10,1.01855,1.01855
1,25,11,1.0342,1.0342
1,25,12,1.03093333,1.03093333
1,25,13,1.1634,1.1634
1,25,14,1.02635,1.02635
1,25,15,1.000333333,1.000333333
1,25,16,1.18995,1.18995
1,25,17,1.0388,1.0388
1,25,18,1.05603333,1.05603333
1,25,19,1.1021,1.1021
1,25,20,1,1
1,25,21,1.0699,1.0699
1,25,22,1.04755,1.04755
1,25,23,1,1
1,25,24,1.09735001,1.09735001
1,25,25,1,1
1,25,26,1.0312,1.0312
1,25,27,1.0759,1.0759
1,25,28,1.0816,1.0816
1,25,29,1.0394,1.0394
1,25,30,1.0174,1.0174
1,25,31,1.0594,1.0594
1,26,1,1.0592,1.0592
1,26,2,1.03566667,1.03566667
1,26,3,1.063,1.063
1,26,4,1.05636667,1.05636667
1,26,5,1.06926667,1.06926667
1,26,6,1.06476667,1.06476667
1,26,7,1.0172,1.0172
