sector,country,gamma_VA
5,13,0.324686609
6,13,0.247468742
7,13,0.417594519
8,13,0.325445762
9,13,0.265518566
10,13,0.384841383
11,13,0.240933548
12,13,0.240933548
13,13,0.304539838
14,13,0.245299312
15,13,0.245299312
16,13,0.245299312
17,13,0.245299312
18,13,0.157154239
19,13,0.157154239
20,13,0.364579057
21,13,0.361330669
22,13,0.387703707
23,13,0.411766641
24,13,0.481236991
25,13,0.511399707
26,13,0.348933968
27,13,0.140805018
28,13,0.42118321
29,13,0.609509496
30,13,0.575559092
31,13,0.781339498
32,13,0.515819369
33,13,0.515819369
34,13,0.515819369
35,13,0.515819369
36,13,0.689405265
37,13,0.796359765
38,13,0.637957108
39,13,0.553568622
40,13,1
1,14,0.754061506
2,14,0.718701406
3,14,0.162654071
4,14,0.267878073
5,14,0.31177683
6,14,0.226888806
7,14,0.166031168
8,14,0.25420941
9,14,0.149747066
10,14,0.327981674
11,14,0.203041639
12,14,0.203041639
13,14,0.208568627
14,14,0.443807156
15,14,0.443807156
16,14,0.443807156
17,14,0.443807156
18,14,0.18561714
19,14,0.18561714
20,14,0.156647137
21,14,0.360357037
22,14,0.373948899
23,14,0.7791592
24,14,0.349288417
25,14,0.415059541
26,14,0.588011182
27,14,0.433832209
28,14,0.531610902
29,14,0.842369073
30,14,0.816273811
31,14,0.91789097
32,14,0.660321415
33,14,0.660321415
34,14,0.660321415
35,14,0.660321415
36,14,1
37,14,0.879409244
38,14,0.390503901
39,14,0.55238914
40,14,1
1,15,0.822182674
2,15,0.865773386
3,15,0.346478374
4,15,0.351429183
5,15,0.330895239
6,15,0.398741046
7,15,0.44046345
8,15,0.340435049
9,15,0.358208426
10,15,0.43469137
11,15,0.396377418
12,15,0.396377418
13,15,0.314497932
14,15,0.339483158
15,15,0.339483158
16,15,0.339483158
17,15,0.339483158
18,15,0.40812176
19,15,0.40812176
20,15,0.37398766
21,15,0.48409593
22,15,0.347524458
23,15,0.734797512
24,15,0.436053694
25,15,0.647984837
26,15,0.583318708
27,15,0.34760049
28,15,0.734212265
29,15,0.71620739
30,15,0.706676512
31,15,0.865904604
32,15,0.591547173
33,15,0.591547173
34,15,0.591547173
35,15,0.591547173
36,15,0.701874736
37,15,0.755931573
38,15,0.404839737
39,15,0.613952538
40,15,1
1,16,0.508283487
2,16,0.50092978
3,16,0.28912893
4,16,0.382137058
5,16,0.274845606
6,16,0.275647168
7,16,0.359828019
8,16,0.601139437
9,16,0.323631266
10,16,0.52216695
11,16,0.296498954
12,16,0.296498954
13,16,0.278880587
14,16,0.294410368
15,16,0.294410368
16,16,0.294410368
17,16,0.294410368
18,16,0.416873252
19,16,0.416873252
20,16,0.359667003
21,16,0.479256139
22,16,0.32979319
23,16,0.61146345
24,16,0.568088683
25,16,0.284865459
26,16,0.283485614
27,16,0.283822131
28,16,0.282980826
29,16,0.289990584
30,16,0.604588973
31,16,0.567867525
32,16,0.567964798
33,16,0.567964798
34,16,0.567964798
35,16,0.567964798
36,16,0.5153383
37,16,0.731607087
38,16,0.684626392
39,16,0.596173671
40,16,1
1,17,0.632922762
2,17,0.681969375
3,17,0.230025953
4,17,0.315363937
5,17,0.370099044
6,17,0.33911086
7,17,0.243651971
8,17,0.28138678
9,17,0.314813095
10,17,0.373681874
11,17,0.322545714
12,17,0.322545714
13,17,0.308535976
14,17,0.337101936
15,17,0.337101936
16,17,0.337101936
17,17,0.337101936
18,17,0.244720838
19,17,0.244720838
20,17,0.300347419
21,17,0.492221783
22,17,0.39598672
23,17,0.498013426
24,17,0.490422806
25,17,0.494775113
26,17,0.316196527
27,17,0.334884288
28,17,0.367956069
29,17,0.59804993
30,17,0.666147995
31,17,0.91744516
32,17,0.557706483
33,17,0.557706483
34,17,0.557706483
35,17,0.557706483
36,17,0.711647412
37,17,0.845263081
38,17,0.670800672
39,17,0.544191171
40,17,1
1,18,0.53948489
2,18,0.37290415
3,18,0.394871213
4,18,0.371673936
5,18,0.345383217
6,18,0.419509124
7,18,0.536173286
8,18,0.359827882
9,18,0.360423394
10,18,0.427276514
11,18,0.336346116
12,18,0.336346116
13,18,0.379651327
14,18,0.386613099
15,18,0.386613099
16,18,0.386613099
17,18,0.386613099
18,18,0.260123919
19,18,0.260123919
20,18,0.358639088
21,18,0.54695263
22,18,0.453767898
23,18,0.637873459
24,18,0.455996121
25,18,0.625841078
26,18,0.422768442
27,18,0.492465795
28,18,0.57033594
29,18,0.714550081
30,18,0.670061405
31,18,0.855265388
32,18,0.593298833
33,18,0.593298833
34,18,0.593298833
35,18,0.593298833
36,18,0.675310963
37,18,0.831608897
38,18,0.548781537
39,18,0.585394774
40,18,1
1,19,0.677069681
2,19,0.684494238
3,19,0.166746447
4,19,0.258277584
5,19,0.268290612
6,19,0.362875695
7,19,0.127743065
8,19,0.271717139
9,19,0.286818308
10,19,0.325205894
11,19,0.236027531
12,19,0.236027531
13,19,0.274125831
14,19,0.291901981
15,19,0.291901981
16,19,0.291901981
17,19,0.291901981
18,19,0.27781014
19,19,0.27781014
20,19,0.315712424
21,19,0.528424612
22,19,0.444103395
23,19,0.602110005
24,19,0.336718738
25,19,0.517625522
26,19,0.51654499
27,19,0.517399984
28,19,0.516301666
29,19,0.661114263
30,19,0.610552324
31,19,0.73539751
32,19,0.631317723
33,19,0.631317723
34,19,0.631317723
35,19,0.631317723
36,19,0.672675557
37,19,0.835276792
38,19,0.608493709
39,19,0.590876496
40,19,1
1,20,0.622425297
2,20,0.808469099
3,20,0.324525003
4,20,0.334447304
5,20,0.355725439
6,20,0.446275202
7,20,0.195064392
8,20,0.286915907
9,20,0.323309478
10,20,0.51367249
11,20,0.327325533
12,20,0.327325533
13,20,0.373742789
14,20,0.18322678
15,20,0.18322678
16,20,0.18322678
17,20,0.18322678
18,20,0.273984055
19,20,0.273984055
20,20,0.343643936
21,20,0.526039003
22,20,0.452639533
23,20,0.725775519
24,20,0.676016408
25,20,0.605152599
26,20,0.327016682
27,20,0.25028859
28,20,0.690387238
29,20,0.608954445
30,20,0.724798171
31,20,0.898057185
32,20,0.641918854
33,20,0.641918854
34,20,0.641918854
35,20,0.641918854
36,20,0.676401015
37,20,0.844329471
38,20,0.730328058
39,20,0.692940354
40,20,0.963829234
1,21,0.465838554
2,21,0.76420032
3,21,0.224393963
4,21,0.315973248
5,21,0.363609534
6,21,0.399795869
7,21,0.101838102
8,21,0.321490565
9,21,0.350534684
10,21,0.405080479
11,21,0.359261112
12,21,0.359261112
13,21,0.352396874
14,21,0.275804031
15,21,0.275804031
16,21,0.275804031
17,21,0.275804031
18,21,0.228952587
19,21,0.228952587
20,21,0.508383594
21,21,0.290591299
22,21,0.354771975
23,21,0.590966458
24,21,0.481377175
25,21,0.607094899
26,21,0.316849343
27,21,0.385721697
28,21,0.461216244
29,21,0.570424445
30,21,0.563529498
31,21,0.655692694
32,21,0.560123885
33,21,0.560123885
34,21,0.560123885
35,21,0.560123885
36,21,0.628526932
37,21,0.807986529
38,21,0.727587498
39,21,0.440581261
40,21,1
1,22,0.448866308
2,22,0.53219055
3,22,0.224000552
4,22,0.331336215
5,22,0.298873393
6,22,0.421711483
7,22,0.088387468
8,22,0.274489324
9,22,0.382008726
10,22,0.427378146
11,22,0.305752899
12,22,0.371479176
13,22,0.40238126
14,22,0.32278498
15,22,0.328630516
16,22,0.32278498
17,22,0.408172837
18,22,0.188618566
19,22,0.425313553
20,22,0.355765932
21,22,0.419409436
22,22,0.289115657
23,22,0.474933603
24,22,0.381978315
25,22,0.448461875
26,22,0.448461875
27,22,0.448461875
28,22,0.448461875
29,22,0.617168036
30,22,0.573230596
31,22,0.690875124
32,22,0.52398906
33,22,0.54889188
34,22,0.640728961
35,22,0.53541188
36,22,0.51656456
37,22,0.732391368
38,22,0.667100674
39,22,0.457767915
40,22,1
1,23,0.510470338
2,23,0.767681309
3,23,0.200375281
4,23,0.351744257
5,23,0.27209891
6,23,0.366117558
