sector,country,alpha
9,21,0.005132506
10,21,0.001904209
11,21,0
12,21,0.011833529
13,21,0.018625864
14,21,0.022216575
15,21,0.002112576
16,21,0.01199032
17,21,0.006362079
18,21,0.01676297
19,21,0.006132156
20,21,0.020657439
21,21,0.019696019
22,21,0.089769009
23,21,0.09691822
24,21,0.027892957
25,21,0.024365454
26,21,0.01325897
27,21,0.014652689
28,21,0.012461546
29,21,0.007884107
30,21,0.020414579
31,21,0.079635744
32,21,0.003548681
33,21,0.001807112
34,21,0
35,21,9.79254E-05
36,21,0.117283341
37,21,0.050588554
38,21,0.0982584
39,21,0.019242297
40,21,0.003598909
1,22,0.0335527
2,22,0.003614636
3,22,0.053339115
4,22,0.016084494
5,22,0.002069343
6,22,0.015194107
7,22,0
8,22,0.012613822
9,22,0.009244493
10,22,0
11,22,0
12,22,0.004564001
13,22,0.022334632
14,22,0.007563605
15,22,0.014769335
16,22,0.004798536
17,22,0.003715146
18,22,0.034595205
19,22,0.010292934
20,22,0.012275425
21,22,0.022385848
22,22,0.079839596
23,22,0.18961786
24,22,0.02190081
25,22,0
26,22,0.001706991
27,22,0.022467693
28,22,0.006115727
29,22,0.016855696
30,22,0.004871017
31,22,0.118818765
32,22,0.004493389
33,22,0.004065822
34,22,0.001674913
35,22,0.016200919
36,22,0.089773921
37,22,0.047346979
38,22,0.064561909
39,22,0.026680615
40,22,0
1,23,0.010381611
2,23,0.021686484
3,23,0.053801136
4,23,0.014918359
5,23,0
6,23,0.00769487
7,23,0
8,23,0.004230455
9,23,0.001348758
10,23,0.000953682
11,23,0
12,23,0.000393839
13,23,0.019301761
14,23,0.005548932
15,23,0.005214051
16,23,0.006237096
17,23,0.003193176
18,23,0.008855751
19,23,0.018418848
20,23,0.008927591
21,23,0.023610943
22,23,0.072045177
23,23,0.116339018
24,23,0.017222384
25,23,0.01275951
26,23,0.084474576
27,23,0.015959353
28,23,0.021118384
29,23,0.004689084
30,23,0.009240413
31,23,0.099235199
32,23,0
33,23,0
34,23,0.001098826
35,23,0.000838175
36,23,0.108421913
37,23,0.063230641
38,23,0.116288038
39,23,0.041164577
40,23,0.001157388
1,24,0.028873995
2,24,0
3,24,0.08106262
4,24,0.051011072
5,24,0.000904124
6,24,0
7,24,0.009960436
8,24,0.011818286
9,24,0.002781965
10,24,0.009909207
11,24,0
12,24,0.014297424
13,24,0.02724785
14,24,0.005060792
15,24,0.001026135
16,24,0.009396984
17,24,0.004109161
18,24,0.033349295
19,24,0.003172907
20,24,0.019205555
21,24,0.012602422
22,24,0.11880277
23,24,0.102060481
24,24,0.065305498
25,24,0.012174534
26,24,0.001417137
27,24,0.005238417
28,24,0.014252251
29,24,0.00981243
30,24,0.012200927
31,24,0.057582136
32,24,0.004068212
33,24,0.000975977
34,24,0.000747388
35,24,0.005475673
36,24,0.092594052
37,24,0.05455741
38,24,0.073683798
39,24,0.037827315
40,24,0.005433363
1,25,0.015743459
2,25,0.071613008
3,25,0.078828257
4,25,0.026162924
5,25,0
6,25,0.013498267
7,25,0.014795118
8,25,0.022791976
9,25,0.00552667
10,25,0.000331312
11,25,0
12,25,0.009288369
13,25,0.023379506
14,25,0.004731337
15,25,0.006740017
16,25,0.006650622
17,25,0.003094892
18,25,0.056533109
19,25,0
20,25,0.011834503
21,25,0.020898143
22,25,0.06685926
23,25,0.111034918
24,25,0.013873826
25,25,0.016546449
26,25,0.000654563
27,25,0.014398182
28,25,0.018715234
29,25,0.007091588
30,25,0.046726485
31,25,0.043688242
32,25,0
33,25,0
34,25,0
35,25,0
36,25,0.213508329
37,25,0
38,25,0.022659348
39,25,0.031802087
40,25,0
1,26,0.036990897
2,26,0.005931481
3,26,0.066940194
4,26,0.027634302
5,26,7.2898E-05
6,26,0.007305691
7,26,0.002569251
8,26,0.014892253
9,26,0
10,26,0.001706262
11,26,0
12,26,0
13,26,0.010567443
14,26,0.007422572
15,26,0.001479972
16,26,0.006760468
17,26,0.006426769
18,26,0.030633724
19,26,0.007430837
20,26,0.020983004
21,26,0.017740302
22,26,0.118196397
23,26,0.080082848
24,26,0.122968351
25,26,0.009829508
26,26,0.001970595
27,26,0.013110559
28,26,0
29,26,0.012228535
30,26,0.019462912
