SectorOrigin,SectorDestination,country,gamma_IO
8,9,1,0.201587657
8,10,1,0.030407357
8,11,1,0.02193154
8,12,1,0.02114386
8,13,1,0.01465258
8,14,1,0.008237463
8,15,1,0.031363581
8,16,1,0.013554319
8,17,1,0.019303834
8,18,1,0.023476071
8,19,1,0.002928205
8,20,1,0.030137632
8,21,1,0.013246197
8,22,1,0.010749984
8,23,1,0.003816648
8,24,1,0.006756261
8,25,1,0.003271105
8,26,1,0.00303155
8,27,1,0.002316453
8,28,1,0.004018578
8,29,1,0.001926248
8,30,1,0.001322513
8,31,1,0.000925367
8,32,1,0.003146067
8,33,1,0.003212152
8,34,1,0.018954357
8,35,1,0.007852191
8,36,1,0.004827698
8,37,1,0.002087742
8,38,1,0.069395822
8,39,1,0.013940605
8,40,1,0
9,1,1,0.003614396
9,2,1,0.003704614
9,3,1,0.012804555
9,4,1,0.01093961
9,5,1,0.007222009
9,6,1,0.010360616
9,7,1,0.004241733
9,8,1,0.014113653
9,9,1,0.071032691
9,10,1,0.007024416
9,11,1,0.003602355
9,12,1,0.010999295
9,13,1,0.018751686
9,14,1,0.015910144
9,15,1,0.024378223
9,16,1,0.019321861
9,17,1,0.022372431
9,18,1,0.049534161
9,19,1,0.00680604
9,20,1,0.028256879
9,21,1,0.002329987
9,22,1,0.015237548
9,23,1,0.005755326
9,24,1,0.00317736
9,25,1,0.010175812
9,26,1,0.002430304
9,27,1,0.003427919
9,28,1,0.004431403
9,29,1,0.003279208
9,30,1,0.000729264
9,31,1,0.000399339
9,32,1,0.006191692
9,33,1,0.002496912
9,34,1,0.003603129
9,35,1,0.002714639
9,36,1,0.001536898
9,37,1,0.000463307
9,38,1,0.004697857
9,39,1,0.003698357
9,40,1,0
10,1,1,0.001998501
10,2,1,0.007171736
10,3,1,0.005377139
10,4,1,0.002690547
10,5,1,0.006013125
10,6,1,0.001404648
10,7,1,0.003476431
10,8,1,0.006012443
10,9,1,0.004603244
10,10,1,0.091644895
10,11,1,0.009124654
10,12,1,0.00562042
10,13,1,0.005991849
10,14,1,0.003152182
10,15,1,0.011684801
10,16,1,0.007683791
10,17,1,0.015976148
10,18,1,0.010386979
10,19,1,0.002924628
10,20,1,0.006952725
10,21,1,0.002104994
10,22,1,0.078052897
10,23,1,0.00125968
10,24,1,0.002983013
10,25,1,0.001213311
10,26,1,0.000606118
10,27,1,0.00055698
10,28,1,0.000880158
10,29,1,0.001367607
10,30,1,0.00045204
10,31,1,0.001505328
10,32,1,0.000703613
10,33,1,0.000424773
10,34,1,0.004997081
10,35,1,0.000924317
10,36,1,0.001384296
10,37,1,0.000534875
10,38,1,0.002029846
10,39,1,0.00183634
10,40,1,0
11,1,1,0.000925874
11,2,1,0.005082947
11,3,1,0.001211735
11,4,1,0.002111027
11,5,1,0.00463249
11,6,1,0.003186197
11,7,1,0.002922714
11,8,1,0.006437196
11,9,1,0.009538908
11,10,1,0.012877367
11,11,1,0.278550614
11,12,1,0.214274858
11,13,1,0.108872374
11,14,1,0.015924653
11,15,1,0.10204561
11,16,1,0.025702492
11,17,1,0.032611057
11,18,1,0.093079175
11,19,1,0.027333203
11,20,1,0.066228553
11,21,1,0.002725555
11,22,1,0.028639103
11,23,1,0.001328379
11,24,1,0.00049716
11,25,1,0.001936502
11,26,1,0.001876393
11,27,1,0.001115494
11,28,1,0.001144916
11,29,1,0.000944281
11,30,1,0.000236232
11,31,1,0.000299457
11,32,1,0.000884603
11,33,1,0.000913915
11,34,1,0.002001326
11,35,1,0.001202035
11,36,1,0.000687181
11,37,1,0.000187743
11,38,1,0.001101214
11,39,1,0.000780954
11,40,1,0
12,1,1,0.004784317
12,2,1,0.009283652
12,3,1,0.011596942
12,4,1,0.005396332
12,5,1,0.015528848
12,6,1,0.003808814
12,7,1,0.007671974
12,8,1,0.00980853
12,9,1,0.012766027
12,10,1,0.011082033
12,11,1,0.024832795
12,12,1,0.094793539
12,13,1,0.062346663
12,14,1,0.01708346
12,15,1,0.032385467
12,16,1,0.019817932
12,17,1,0.022216297
12,18,1,0.060689497
12,19,1,0.020891528
12,20,1,0.026827891
12,21,1,0.006555141
12,22,1,0.039496584
12,23,1,0.004082552
12,24,1,0.003239208
12,25,1,0.003318556
12,26,1,0.003201751
12,27,1,0.002073829
12,28,1,0.002784553
12,29,1,0.002888923
12,30,1,0.001192683
12,31,1,0.000818525
